,0
0,36.646877
1,39.443336
2,47.86897
3,52.272762
4,49.799847
5,25.64585
6,7.4938912
7,20.907444
8,44.858086
9,23.853764
10,14.376031
11,10.859138
12,12.122381
13,14.959697
14,23.101625
15,13.149817
16,3.0635564
17,2.8277428
18,25.790035
19,20.852507
20,10.801338
21,19.28166
22,34.84563
23,26.61583
24,17.371214
25,14.109133
26,6.1374903
27,26.14336
28,16.81767
29,13.799477
30,5.0753393
31,19.70238
32,13.960967
33,11.203617
34,15.536953
35,11.0585165
36,8.569208
37,18.945612
38,11.657414
39,15.727584
40,12.577768
41,4.726148
42,14.116932
43,8.346188
44,7.1458745
45,12.456098
46,10.789768
47,6.635368
48,7.739022
49,14.103259
50,11.352026
51,22.089706
52,5.8010254
53,6.9319034
54,22.516605
55,4.2518673
56,7.837895
57,13.67782
58,5.4262204
59,0.56629217
60,35.467037
61,11.438137
62,14.083304
63,11.196344
64,18.030642
65,19.558956
66,16.389988
67,3.8718355
68,1.2769755
69,5.703255
70,15.9123
71,16.224134
72,10.019797
73,14.4215765
74,10.163057
75,11.953409
76,8.215752
77,12.205116
78,1.3059217
79,10.877066
80,9.851935
81,15.548868
82,14.967936
83,9.966541
84,13.780708
85,15.371827
86,2.228383
87,17.36659
88,5.07703
89,0.76620287
90,8.016658
91,13.342563
92,5.3765826
93,17.75583
94,11.384658
95,15.579121
96,20.343172
97,28.691677
98,12.315865
99,13.82066
100,8.006272
101,16.15214
102,6.175911
103,5.674247
104,4.315293
105,11.776627
106,3.113938
107,15.660999
108,8.087365
109,13.562577
110,16.102274
111,7.0300756
112,10.743568
113,18.125187
114,11.027446
115,1.9668795
116,9.384816
117,13.561472
118,5.925643
119,7.687253
120,7.550521
121,4.551007
122,5.1191998
123,9.293367
124,11.366001
125,17.2779
126,5.5621986
127,5.899727
128,5.4795847
129,4.7311983
130,2.8132915
131,4.442869
132,1.939677
133,16.728052
134,13.784201
135,6.924877
136,1.7625407
137,7.385177
138,14.374419
139,13.258032
140,3.7208529
141,3.7156882
142,8.359705
143,6.4292192
144,14.146816
145,8.92507
146,14.022252
147,6.8533473
148,8.477938
149,20.48734
150,11.606908
151,3.8865163
152,11.288933
153,4.2614326
154,2.000477
155,8.23625
156,13.922048
157,7.0939956
158,10.280415
159,2.7135837
160,5.440432
161,2.3180063
162,10.237615
163,15.083683
164,26.738077
165,18.439594
166,9.643238
167,0.72940964
168,4.03687
169,3.6656446
170,7.5277963
171,1.7854891
172,15.115083
173,10.840899
174,7.3118386
175,4.482625
176,6.9787855
177,1.5284353
178,13.246643
179,8.893714
180,16.508596
181,12.162482
182,6.680486
183,11.189843
184,4.840641
185,7.831567
186,7.542292
187,27.845629
188,19.173796
189,3.2372053
190,6.357521
191,5.6841455
192,3.8222342
193,8.079295
194,13.857531
195,3.0474586
196,17.52381
197,9.864348
198,16.01334
199,6.156554
200,8.177064
201,7.6363983
202,14.850176
203,12.2100315
204,4.1566586
205,24.506483
206,24.306168
207,4.852828
208,9.137964
209,5.07702
210,8.896648
211,6.9075403
212,14.721537
213,17.51163
214,15.02095
215,5.061514
216,6.094216
217,4.6658883
218,5.4947495
219,13.405999
220,25.302176
221,19.38198
222,18.653837
223,19.71301
224,13.347666
225,3.288774
226,12.661777
227,11.789982
228,16.159964
229,18.07588
230,25.586512
231,32.223293
232,16.268457
233,9.812131
234,8.63736
235,25.1851
236,23.446215
237,33.81155
238,35.37583
239,26.585766
240,18.822386
241,30.06476
242,22.87897
243,14.051184
244,34.672245
245,46.969204
246,22.682127
247,23.249983
248,28.018343
249,5.5377526
250,14.469213
251,8.242867
252,11.3742695
253,28.533691
254,27.622852
255,38.38732
256,53.30358
257,61.8706
258,39.392235
259,35.355312
260,43.81796
261,57.828976
262,86.261475
263,115.944824
264,155.03036
265,200.88654
266,232.49461
267,269.60068
268,1865.4904
269,894.9799
270,745.2356
271,509.54446
272,401.98807
273,296.7988
274,206.18776
275,165.0903
276,116.39635
277,121.4917
278,101.57293
279,85.37653
280,83.25798
281,68.39848
282,63.52529
283,47.33596
284,38.24256
285,33.253365
286,39.383545
287,37.163345
288,39.476063
289,40.741863
290,29.383259
291,27.650377
292,24.535633
293,34.30494
294,52.15916
295,41.389988
296,42.91414
297,52.292076
298,53.44557
299,40.34431
300,27.574121
301,41.901024
302,40.726337
303,47.742687
304,44.287884
305,34.360825
306,45.409927
307,34.47175
308,34.130154
309,34.305695
310,33.34631
311,25.742271
312,32.772938
313,30.963747
314,26.948065
315,13.110528
316,15.310963
317,26.432713
318,10.819596
319,20.005028
320,12.842367
321,33.773975
322,48.373627
323,32.49414
324,19.100956
325,33.428326
326,19.035599
327,8.486083
328,20.157986
329,24.596167
330,31.515585
331,38.267662
332,26.367975
333,54.460445
334,32.18315
335,30.088196
336,25.410564
337,123.92857
338,36.0865
339,14.579647
340,18.872305
341,28.04727
342,49.480125
343,39.736885
344,31.088291
345,34.50397
346,37.509525
347,25.97655
348,32.383198
349,38.58338
350,20.859232
351,12.451049
352,13.125405
353,21.607557
354,16.69586
355,20.843544
356,13.865471
357,20.60585
358,6.059514
359,12.3024645
360,15.484937
361,19.553467
362,24.477623
363,27.246168
364,15.751889
365,11.888636
366,12.843045
367,27.098589
368,19.740295
369,14.644984
370,5.680416
371,10.646873
372,18.53979
373,17.000795
374,26.751911
375,27.66044
376,6.957761
377,32.83005
378,9.136361
379,25.188622
380,19.488216
381,13.1686125
382,5.4403267
383,12.973361
384,4.3915267
385,8.72043
386,10.131144
387,14.069632
388,9.926159
389,17.762297
390,17.180958
391,14.696946
392,22.713396
393,12.774195
394,2.5025885
395,24.607843
396,31.432302
397,11.211016
398,16.98902
399,22.050817
400,20.544352
401,25.707458
402,30.815897
403,24.809969
404,34.201817
405,14.875274
406,12.354359
407,19.456842
408,13.287566
409,10.082106
410,13.572579
411,15.786814
412,44.272358
413,4.3794265
414,4.5945096
415,15.583239
416,19.837376
417,13.169619
418,10.31364
419,29.363304
420,33.558838
421,9.287863
422,20.952997
423,4.8608603
424,18.701256
425,25.026356
426,13.663881
427,10.306209
428,23.411684
429,13.623448
430,15.814595
431,25.05047
432,14.050596
433,10.625875
434,13.184768
435,21.296492
436,23.977346
437,29.44721
438,28.006706
439,14.680113
440,33.989624
441,5.0557685
442,26.076653
443,24.282581
444,19.037462
445,32.97368
446,20.362585
447,14.568766
448,16.982128
449,17.401525
450,20.17643
451,15.121087
452,33.464317
453,26.945696
454,16.960413
455,23.433163
456,10.887271
457,23.658127
458,19.53134
459,31.611296
460,18.603266
461,29.12934
462,50.21844
463,20.357302
464,15.974309
465,19.089888
466,4.274187
467,31.558079
468,52.47343
469,44.4096
470,52.908257
471,35.982338
472,32.210167
473,33.253433
474,50.350166
475,25.675941
476,44.77125
477,69.312485
478,37.979042
479,25.22431
480,14.787724
481,28.231722
482,33.93857
483,28.826439
484,76.59511
485,30.729708
486,11.056315
487,8.750444
488,38.793068
489,34.175224
490,34.179234
491,13.747337
492,48.015465
493,18.577316
494,52.00609
495,57.323105
496,45.72754
497,30.433495
498,22.32674
499,9.667092
500,88.96879
501,81.27735
502,53.53191
503,70.03986
504,73.89176
505,59.62542
506,36.51745
507,27.75779
508,53.964672
509,85.82054
510,109.55622
511,114.36779
512,91.09406
513,56.56101
514,18.891693
515,32.436535
516,67.65645
517,96.665016
518,107.567566
519,100.48118
520,104.22287
521,57.226467
522,33.476353
523,31.830875
524,22.95455
525,80.78754
526,150.22832
527,232.61942
528,284.13998
529,260.37128
530,194.04352
531,130.95612
532,60.57381
533,176.15456
534,492.74655
535,1507.6954
536,4808.55
537,5779.9814
538,4083.9836
539,2462.3196
540,1516.1808
541,1091.6187
542,829.7302
543,700.8385
544,561.35144
545,437.8274
546,341.14316
547,253.79808
548,186.97948
549,102.94598
550,170.43097
551,194.79701
552,201.7046
553,162.8919
554,76.728065
555,67.868546
556,47.02866
557,46.826725
558,70.53671
559,117.61908
560,138.66307
561,119.03892
562,97.92613
563,100.3756
564,97.1248
565,71.697
566,65.987595
567,86.4701
568,87.6614
569,121.54931
570,110.932884
571,111.029144
572,89.84905
573,40.832066
574,53.162056
575,78.76508
576,104.84933
577,106.163414
578,123.39519
579,69.1698
580,57.641136
581,64.41026
582,43.73926
583,70.32054
584,68.904785
585,61.12396
586,61.14327
587,42.52157
588,16.925177
589,19.629826
590,17.246138
591,18.781885
592,42.36157
593,50.237473
594,44.23903
595,46.02018
596,27.501938
597,32.935894
598,30.132385
599,40.73479
600,52.02581
601,40.27081
602,65.81081
603,32.18052
604,38.319862
605,35.49318
606,19.541718
607,25.475885
608,19.309105
609,60.26246
610,65.72644
611,69.13097
612,61.581497
613,39.11852
614,28.88048
615,29.359734
616,33.340157
617,24.825071
618,10.73675
619,35.82033
620,26.562082
621,27.076817
622,14.196816
623,24.700127
624,29.150562
625,34.626656
626,35.933884
627,41.65352
628,32.451267
629,44.796333
630,25.838848
631,14.992914
632,22.153267
633,31.610231
634,65.92899
635,40.925255
636,53.007175
637,63.4096
638,56.046593
639,87.890594
640,82.62117
641,42.591377
642,42.441597
643,24.226501
644,35.179184
645,39.6613
646,40.448666
647,38.398033
648,39.12573
649,41.375908
650,44.35606
651,53.6983
652,55.799614
653,37.09138
654,35.333256
655,16.83231
656,8.165704
657,32.001705
658,25.46425
659,29.220665
660,23.364544
661,39.25857
662,31.658802
663,30.290348
664,29.555216
665,21.042105
666,27.149569
667,28.800276
668,39.666718
669,37.32842
670,35.101307
671,38.94457
672,42.758263
673,35.35821
674,37.339657
675,65.88768
676,73.64154
677,75.41079
678,64.08782
679,65.70816
680,60.65653
681,73.10292
682,71.234375
683,78.35577
684,70.71088
685,67.12045
686,61.177174
687,58.635685
688,53.671352
689,66.822266
690,61.824707
691,47.69676
692,54.522846
693,48.146408
694,51.85725
695,41.534664
696,39.948524
697,46.948105
698,41.38779
699,32.36964
700,26.843945
701,29.79198
702,38.625164
703,22.191547
704,22.013597
705,24.497416
706,29.663494
707,28.584934
708,23.24541
