,0
0,253.00389
1,238.74492
2,212.21896
3,173.61841
4,150.36801
5,117.78916
6,92.00279
7,86.890144
8,64.109535
9,65.88504
10,43.011974
11,38.337917
12,25.147106
13,24.774942
14,30.819666
15,22.474916
16,20.833347
17,12.762727
18,11.27547
19,27.617548
20,28.289425
21,6.7378497
22,30.926594
23,36.052784
24,43.264244
25,20.749462
26,39.545666
27,47.684917
28,55.156532
29,24.464048
30,35.942783
31,32.756203
32,43.94001
33,26.229225
34,35.6165
35,31.250832
36,43.538666
37,40.75898
38,35.22167
39,28.466543
40,32.615067
41,33.456123
42,53.286964
43,28.513266
44,26.976204
45,37.49767
46,39.559296
47,31.54137
48,44.680298
49,31.50277
50,44.923462
51,25.05151
52,35.02063
53,37.68236
54,56.529232
55,32.21109
56,39.03197
57,37.792564
58,32.807922
59,48.543293
60,12.177713
61,54.418842
62,43.304016
63,29.981966
64,19.921698
65,44.360176
66,43.690094
67,46.658295
68,33.8598
69,39.67199
70,51.09941
71,30.977438
72,41.76521
73,35.79044
74,20.863314
75,43.289463
76,44.444016
77,33.669018
78,19.803988
79,27.884468
80,39.01018
81,18.707819
82,44.0239
83,38.380882
84,45.4663
85,16.252026
86,25.86931
87,37.42816
88,36.751366
89,18.097155
90,31.889439
91,20.748394
92,32.385967
93,31.537119
94,39.087666
95,18.097464
96,32.47882
97,25.019016
98,28.439108
99,10.565548
100,26.564507
101,30.816149
102,24.564798
103,11.428818
104,19.326982
105,27.588907
106,25.492424
107,31.852423
108,22.654238
109,23.257397
110,18.787066
111,32.612938
112,26.389761
113,24.624372
114,14.400408
115,14.091215
116,14.624244
117,19.632349
118,9.8932495
119,14.478344
120,16.564125
121,11.09743
122,18.415857
123,29.693792
124,21.866491
125,7.2510147
126,15.4727
127,27.077282
128,11.823388
129,11.373993
130,9.275337
131,23.06742
132,21.017742
133,9.545645
134,4.057441
135,4.891026
136,16.041676
137,11.56056
138,8.536192
139,9.356092
140,10.693543
141,12.229419
142,9.354221
143,7.2527337
144,14.537301
145,18.305708
146,5.5737085
147,4.667179
148,8.3426695
149,9.922978
150,3.0584202
151,5.7523174
152,13.519555
153,17.962734
154,5.657294
155,17.609575
156,6.472447
157,12.630164
158,27.734526
159,31.209219
160,7.6641726
161,13.498448
162,6.7700524
163,14.518621
164,23.350517
165,16.622772
166,8.869025
167,18.469442
168,15.424207
169,4.3559103
170,6.621586
171,8.390418
172,12.310221
173,12.522984
174,3.3427706
175,7.043308
176,8.002441
177,11.85148
178,7.4474897
179,13.619331
180,6.4749436
181,5.674727
182,14.922747
183,18.396425
184,12.269882
185,10.289573
