,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
0,713.84955,779.99524,729.6056,617.22107,527.8031,431.2295,421.7604,400.20895,380.62723,355.6816,301.30142,264.77084,292.40433,270.03235,256.74316,214.72319,220.53238,241.76744,190.86066,117.72345,132.17097,122.87606,98.86125,97.82868,87.56281,77.52416,67.45991,63.43102,50.96516,39.63949,48.770905,56.717083,57.24568,45.959663,42.461807,45.335857,42.127712,43.971115,39.981094,36.38917,37.931145,43.817577,51.31296,51.69235,45.77145,50.146046,50.9093,50.665966,48.731228,53.599487,66.60995,74.38892,78.11542,83.23816,74.659256,73.69762,90.954346,112.93389,123.08133,130.31476,129.99419,116.69222,114.21481,93.766075,70.27642,57.32241,44.620922,32.25332,21.28031,19.500908,19.195225,19.179607,19.172764,19.172277,19.177973,19.192204,19.214825,20.89955,30.405079,42.27371,55.000435,68.23333,88.90943,112.53676,115.93012,127.75552,131.78899,123.65194,115.72302,94.66422,75.80097,72.84476,82.78716,79.19075,75.077225,68.25702,55.731113,48.60158,50.308754,51.034164,50.57038,46.261234,50.776443,52.025085,45.463116,38.33569,36.966293,38.378567,44.624073,41.520367,45.42186,43.03402,44.250996,55.75912,57.896267,50.29531,40.27972,47.98271,62.869415,66.11894,76.064186,85.526215,97.0563,97.89751,118.2562,133.34135,118.497894,173.82895,239.00073,228.05986,205.60104,253.74097,265.37585,291.7934,270.56436,292.51532,348.28482,377.52435,397.01782,418.0414,430.78336,505.2781,606.22943,710.32935,779.32556,734.57104
1,76.96699,85.758125,84.32389,97.14514,107.87875,93.12242,90.90387,104.81171,99.89226,102.37188,89.92122,75.1155,99.76666,95.2191,90.58064,72.882,87.91095,105.98308,76.923325,22.677128,39.909485,36.994377,18.608788,12.996392,4.764182,6.8358393,6.4113226,5.924135,5.904806,3.6323366,6.7268667,12.559963,16.890553,12.7463,7.976082,10.533739,12.346603,8.743748,8.166074,5.439782,7.024882,10.960118,12.142784,11.855664,8.788305,12.816843,12.103909,10.69739,9.238153,10.195702,13.364433,15.309738,10.262104,14.569021,12.486647,2.275476,6.661558,10.283832,7.7974386,10.914145,12.262693,9.837915,8.698727,5.185434,5.054782,11.60401,17.189009,15.970925,1.9721816,1.8578587,1.9117523,1.889666,1.8799893,1.8793012,1.887356,1.9074789,1.9394668,1.7022412,13.717727,18.105858,12.366063,6.2443724,4.5277667,8.322048,9.604364,11.917476,11.707139,7.463958,10.026527,8.185652,1.9728944,10.571097,15.07312,10.600954,14.485603,14.163221,10.420831,9.198549,10.377514,11.972666,13.3069515,9.260529,11.485455,12.079903,11.5561075,7.957876,5.5593553,7.5920258,8.685584,11.686171,11.479849,7.8867607,11.374334,16.732878,14.063578,7.3125916,3.9497004,5.397846,6.285165,5.9489117,7.5552077,4.1802497,11.865927,17.115562,34.004997,41.449257,24.901567,64.927376,104.924805,93.5541,69.24931,89.341324,93.41481,100.73193,80.41586,86.329056,101.748184,99.677376,105.202255,92.62361,91.02303,109.40845,100.172714,83.390854,86.17731,79.47962
2,-19.369556,-26.966835,-23.318197,-2.5558195,-2.2963624,9.734683,5.248255,6.77048,5.432768,5.1399565,20.229132,23.616322,19.000889,24.676828,34.229954,37.642326,28.824852,22.486649,27.215805,31.197014,37.26594,27.473246,22.944834,25.67236,20.174479,14.430998,13.573072,18.785439,12.272131,5.6304445,5.463556,12.048837,17.39977,10.904512,10.618702,16.019844,13.148917,11.13046,11.854546,9.682251,9.023652,16.309166,15.243337,14.380615,14.662466,16.765558,19.109722,16.437351,12.371643,14.531039,19.461575,20.8998,16.344936,20.272243,15.703701,8.568954,13.856373,17.753666,16.298225,17.51196,22.078493,17.496746,19.813374,15.7218075,12.657807,18.253885,17.878193,13.162741,0.6095326,1.6309527,1.9113204,1.889239,1.8795645,1.8788767,1.8869296,1.907048,1.9390287,0.47713536,11.163557,17.405315,18.301128,13.907021,14.235717,20.045551,17.339607,21.771156,18.777538,15.458311,17.935202,15.14292,8.793743,14.093796,20.489853,16.71261,20.047642,20.533855,14.768462,12.728372,15.392632,19.331425,17.206612,14.730116,14.6412115,14.576152,17.002079,9.798977,9.602871,11.810215,11.262312,12.225654,16.152302,11.4200325,9.803646,17.095284,13.746888,6.179139,4.9782176,10.774969,18.435844,14.522576,14.195801,18.725533,25.401564,23.440596,25.726707,36.204323,34.236233,27.87947,22.76756,26.564606,38.481083,34.504417,27.12523,18.60027,23.377842,21.747265,6.7765985,4.7358294,6.8446527,5.3315825,8.450416,-0.9843391,-3.1838145,-20.324455,-27.31252,-21.479654
3,10.023752,16.483295,18.60651,7.204312,10.783257,33.328094,28.182245,19.863422,24.105324,23.511429,21.032875,9.244528,4.13904,6.36156,10.632548,17.321938,11.347761,6.5516043,13.570719,33.669163,29.506283,19.637598,24.926659,30.41053,30.846073,21.630627,19.129353,27.043427,21.412117,8.125551,12.775646,16.034945,20.380856,15.5802555,16.143232,18.001364,16.979836,15.676941,14.902815,9.7240715,10.688133,18.59069,18.392902,17.050821,15.901785,17.914185,19.542292,19.03453,17.76063,19.411766,20.978313,22.937561,20.490812,17.381804,15.788385,9.902642,13.258205,15.80228,13.645704,13.819773,17.543406,14.126403,18.559,17.285437,17.158794,21.851168,23.458107,16.825386,4.185624,2.2371113,1.9106007,1.8885275,1.8788567,1.8781691,1.8862191,1.9063299,1.9382985,3.7467513,14.627039,23.049784,22.463528,18.071346,16.460546,18.928444,14.49867,17.184128,14.982565,12.869649,15.808207,14.1332855,9.70224,15.198013,17.2653,19.650787,23.083601,21.261148,19.753132,17.98565,18.643524,19.697184,17.982292,16.056463,16.952618,17.876625,19.313568,11.577362,9.806986,14.280502,15.801481,16.153046,18.145458,16.164381,15.240431,20.056446,17.23015,13.382135,7.9259887,18.776108,27.46354,20.270653,20.440727,29.693138,31.065863,26.116343,19.15662,27.351284,35.465096,16.645283,6.7091846,9.850549,18.944351,11.115937,7.2270646,4.2207127,7.1253414,19.731672,23.514168,24.34433,20.08928,26.564636,33.61981,13.134445,5.6971064,18.348598,17.147642,11.439597
4,2.0112395,-2.4613514,-4.2253237,-4.5501995,-6.2240176,-2.3609436,14.209129,22.242188,24.875305,21.338032,12.291227,9.846365,5.586834,4.7617435,6.949493,7.4916477,9.065215,13.446246,10.790909,13.9664955,10.998001,6.667899,14.228637,16.43027,16.786795,15.728152,12.331997,10.633301,7.8234606,4.5960054,8.66507,8.9922695,11.532353,6.2504053,7.230649,12.317774,10.728459,10.692255,12.912542,5.795107,7.0121946,12.66683,10.591818,9.430868,14.041433,13.944881,13.718103,14.489109,11.9653845,12.14568,17.075508,17.328682,11.888004,7.6268353,8.084473,2.4677916,3.9409354,11.059091,7.169141,6.9459395,12.074636,13.557851,14.400472,7.657619,7.045417,13.052206,20.028412,14.117306,3.5851305,2.13835,1.9095932,1.8875318,1.877866,1.8771788,1.8852246,1.9053247,1.9372765,3.2285583,12.260477,19.97099,14.889352,7.875793,6.3009787,13.791696,13.923172,12.565674,7.80756,6.4970474,10.866785,5.7211866,1.2981641,8.053082,7.5177684,10.802937,16.46344,17.819763,12.805233,11.66045,14.038486,14.271803,13.313869,14.306749,10.39336,9.447012,13.084198,7.912962,5.212473,12.35062,11.321053,10.019283,12.595558,7.582696,5.933797,10.994898,9.72439,8.433849,5.3018875,7.0453253,10.232005,12.287195,14.958185,16.912008,16.203537,15.854053,6.445838,10.103451,14.553133,9.8560095,13.599476,10.056793,7.809967,7.1543694,4.9519243,5.3076487,8.466576,12.351656,19.438557,25.607624,22.28543,16.882723,0.20130737,-7.440692,-3.442482,-4.327709,-2.9663754,1.121628
5,-0.73954004,0.8732995,0.31699032,3.1268654,2.9455442,-7.943406,0.039365925,0.9244964,3.1791089,4.3586454,2.3744936,4.9141364,5.9503994,3.8845167,-0.8307268,4.4254885,10.973388,10.982779,6.748666,6.6373463,3.0735378,1.6905079,5.697885,7.855191,5.101219,7.738367,5.9341087,8.128595,5.5748105,0.65493727,5.8265862,7.920079,7.051339,2.7291584,1.89098,7.2115545,8.605864,7.422439,6.782357,1.6950109,3.0958195,5.183095,2.5365732,3.0480502,5.2215457,7.736535,5.9534907,4.257943,4.606604,7.697901,10.576769,10.136333,8.141457,6.4259615,7.537245,4.8742256,3.8122077,8.914064,8.879538,7.1614532,6.342901,5.6212015,9.176815,6.2840347,4.3635807,7.4137125,11.197739,7.331748,0.253191,1.5829341,1.9082983,1.8862518,1.8765925,1.8759058,1.8839461,1.9040326,1.9359627,0.2351412,6.090059,11.218236,8.390278,4.542155,5.451536,9.002541,6.5437202,5.7188234,7.444184,7.9364195,9.83226,4.130541,4.252906,7.6437235,6.63853,7.5923743,9.600692,10.890873,8.41326,4.691175,4.1825604,5.8057165,7.563187,5.3939037,3.5691862,2.0121238,4.8382416,3.865771,1.357127,6.2568026,7.342084,8.364336,7.828844,2.0047917,2.0302067,6.8551946,7.521147,6.407519,0.72836447,4.5285645,8.204753,5.9398093,7.748984,5.156172,7.3562055,7.0750933,1.6142557,2.5607514,6.878961,5.652958,10.478692,11.48575,5.834787,-0.4818054,2.733521,5.9397087,5.358181,2.6623478,3.9497154,4.1546125,0.74222183,0.9535838,-7.0407186,2.0462418,3.697671,-0.115979984,1.0204602,-0.4792135
6,1.6387525,1.4630032,3.860343,5.4846625,5.706377,0.92100286,-3.4192452,-4.9054413,-1.2716951,0.6591142,-2.279071,4.70763,9.2946415,5.6821985,1.943553,3.9399471,6.1251163,6.2741117,8.462233,8.449951,8.002752,7.3679476,10.732071,11.053772,7.020838,6.823614,10.275792,11.325967,10.286335,4.439122,13.160906,15.528254,9.803481,3.9454694,6.2498755,11.121683,10.498896,8.27985,8.657733,4.658281,7.282979,10.853995,6.756402,10.371641,11.430241,13.057898,11.610472,14.034555,15.986971,13.889027,9.230228,13.119873,18.237572,13.214228,8.760356,7.320575,8.67498,11.7471285,9.379811,7.721714,11.377844,8.646572,10.090771,10.212091,4.4421616,7.004347,12.279474,8.367426,2.5294569,1.9746453,1.9067159,1.8846877,1.8750365,1.8743503,1.8823838,1.9024539,1.9343574,2.3415098,7.1643333,12.129508,8.289621,4.046867,9.518315,10.347136,8.5135765,11.233539,8.517483,8.231753,12.304799,8.9049225,7.435958,8.262421,12.272095,17.88924,14.380074,9.107763,13.204291,16.044674,14.172703,12.082592,12.664301,11.987938,10.59567,6.9909215,10.0081005,8.382132,4.5095716,8.300671,8.622816,9.974487,11.603737,6.718643,3.6620646,8.798265,14.593641,14.308674,4.8127966,9.004267,11.53067,10.373181,7.384261,6.6582584,10.4273815,11.640947,7.259253,7.9584002,8.295935,8.719728,6.476302,6.2401447,4.037157,2.2471619,4.3736014,9.224665,6.56783,-2.2502131,0.0271153,-0.068852216,-4.721407,-3.973383,-0.241289,6.1289654,4.418928,4.862377,1.558959,1.5956703
7,0.5377338,0.3277999,-2.2310314,-5.165303,-4.148693,2.973134,-2.3819172,-4.1514144,-2.428074,-4.207088,-5.3266015,3.8232396,7.0118947,5.4916058,7.5413866,2.4309163,3.9814017,5.2836537,6.4984913,9.557846,9.889448,7.670749,10.640335,11.5052185,2.831655,6.222845,11.809924,11.211119,8.818064,5.9509897,11.731107,10.74498,6.45155,4.942715,6.7376356,10.412632,12.413292,11.986164,12.501642,9.901255,10.08021,10.371263,8.610869,11.809906,14.962554,14.092567,14.919046,15.145582,14.130874,9.376963,10.67347,11.1230755,12.582264,13.946377,13.597799,9.502936,7.916922,7.880148,6.6701784,7.778561,9.640701,9.706642,9.633347,6.9306693,2.2852025,6.7875166,11.469957,8.958059,4.535875,2.3159926,1.9048464,1.8828397,1.873198,1.8725125,1.8805382,1.9005885,1.9324608,4.204668,7.900275,11.981687,7.838716,2.6686091,5.9883957,9.395585,9.776957,9.738726,8.06451,6.517765,8.079203,7.8276796,9.02347,12.828038,14.330631,12.643597,11.302112,10.904797,9.373648,13.503642,14.823393,15.187054,14.061468,15.137329,12.496811,8.696281,10.22525,9.907434,10.033667,12.090759,12.483053,12.418774,11.046133,6.893103,4.9141517,6.316329,9.697755,12.498271,6.18503,8.102976,10.908361,11.999777,7.440697,2.4254837,10.162132,11.883743,7.025457,9.995621,8.901714,7.0987635,5.418045,4.4080467,1.1854968,7.2495213,5.512681,6.8826323,5.4769783,-4.799379,-4.744334,-2.1650295,-3.9305878,-3.247236,2.376371,-3.7541409,-4.3980556,-3.1916616,0.1742543,0.5536089
8,1.5216274,1.6395849,2.8596444,3.3164825,3.650318,4.222515,1.9114668,-1.2464546,-3.810646,0.5362414,1.0278866,0.91444343,4.535408,3.384454,2.5787895,-0.68142337,2.7425551,4.186724,2.4488287,4.613739,-1.0929695,0.7818891,3.4882257,7.539314,2.9513707,3.6666055,4.3308153,4.4110775,6.59618,4.433159,7.156423,4.508664,-1.0191586,-1.569128,0.4448557,5.262917,7.494526,6.724482,5.0728793,4.5827065,6.8551536,7.998021,3.2398245,4.405919,5.167037,2.6092358,5.4279594,3.9716096,4.163741,1.8385181,0.4007461,-0.8240541,-0.695846,2.5117111,6.2858586,5.3298273,0.22322647,0.3688053,3.6474996,2.9956062,3.199519,5.5649743,8.88006,8.759657,3.0953739,2.3420434,4.613817,2.0648403,1.0791051,1.7380592,1.9026899,1.8807082,1.8710774,1.8703927,1.8784093,1.8984368,1.930273,1.1058018,1.6426091,4.446477,2.9569547,2.6297035,7.995498,9.290693,6.240596,3.4213736,2.7322328,3.761669,1.2471921,-0.59074163,4.600088,6.553677,3.2821105,-0.35135186,-0.9355476,0.13200083,1.5340987,3.906287,3.6125941,5.3755345,3.1058435,4.357701,5.044858,2.805058,7.607766,7.0520625,4.8954954,4.89627,6.596545,7.8978224,5.8751974,0.7561542,-1.1942458,-1.2778223,3.2046833,7.57346,4.2608695,6.643593,4.731181,4.0360775,4.346347,2.240982,7.2649884,4.5247526,0.97886777,-0.84601134,2.3768573,2.8403478,3.932126,3.4321966,-1.3319306,2.2258987,2.999753,4.7081347,1.9840581,0.53106177,1.2343903,-3.5606241,-1.7576382,1.1875974,4.4835596,3.3221536,3.326446,3.2207708,1.7069509,1.5278537
9,0.1535938,0.1685267,0.17067905,1.1537184,1.3834577,-3.913468,-0.062566966,5.4914618,3.661634,2.881918,8.257737,6.035227,6.649152,3.657622,2.3874114,1.8177007,-1.4484129,-0.97400486,1.079521,7.325247,-0.45947146,-3.2978592,1.8313395,7.9930553,4.107156,1.076258,5.387191,3.5996113,3.1789174,5.1245365,6.222535,9.485993,4.29951,1.8869376,3.4117348,3.1758904,6.186096,6.118053,4.9500294,2.3873143,6.2777586,5.813401,1.8853934,4.9489374,5.5343904,6.9470043,6.951689,6.470725,6.2921576,5.9005795,1.8026428,0.25719765,0.42710343,0.64853346,2.8549867,4.59802,4.2684965,4.5593505,8.896244,4.5840116,5.098969,9.955036,12.568611,8.470971,4.739276,0.88559604,1.4144838,0.011470139,0.7937109,1.7002137,1.9002471,1.8782935,1.8686751,1.8679912,1.8759975,1.8959994,1.9277948,0.8885063,-0.18376058,1.6076032,0.5857223,4.442959,7.4088535,12.511925,11.017736,5.434206,4.3855443,8.497951,5.534931,3.6431808,4.653028,3.4573846,0.611924,0.7131461,0.34754488,1.1235188,5.543512,6.1013746,6.5398836,6.3767033,7.503183,5.392108,5.4605517,1.7948947,5.1733456,6.6373196,2.952693,4.428335,6.0947113,6.3453474,3.954027,2.7327077,2.627578,2.974411,9.084286,6.760196,4.9950743,3.6857586,3.139504,5.388987,2.0181081,2.5439663,8.354336,3.0503623,-2.7225358,-1.5400268,5.772343,2.0436912,-0.76486385,-1.521361,1.3841741,2.431742,3.0205405,6.496156,6.378912,8.690359,3.4527931,2.8390083,6.115226,0.722199,-3.3749776,1.1376302,1.0615443,0.121221885,0.2125785,0.0948897
