,0
0,6.283137e-08
1,6.725774e-08
2,5.581518e-08
3,5.768376e-08
4,4.7544336e-08
5,7.288407e-08
6,3.4447567e-08
7,6.3649665e-08
8,6.1776475e-08
9,7.2673394e-08
10,6.727774e-08
11,1.14954695e-07
12,1.0082515e-07
13,2.1984758e-09
14,3.340258e-09
15,6.832582e-08
16,2.8507163e-08
17,3.7337504e-08
18,3.943178e-08
19,9.5044484e-08
20,3.9054586e-09
21,7.1270088e-09
22,5.8417458e-09
23,4.172401e-09
24,2.5515965e-09
25,8.198082e-08
26,2.5460563e-08
27,9.707231e-09
28,2.1415933e-09
29,5.7555717e-08
30,2.3146406e-08
31,3.4675587e-08
32,1.8487508e-08
33,5.152824e-09
34,1.436463e-09
35,6.369992e-09
36,1.7406526e-09
37,4.447444e-09
38,1.6047101e-09
39,3.8176475e-09
40,2.7202029e-08
41,1.2464545e-08
42,3.300095e-09
43,9.182871e-10
44,7.9780715e-09
45,1.3949652e-08
46,6.1465157e-09
47,2.0555235e-09
48,9.456029e-09
49,4.9101768e-08
50,1.12333005e-08
51,7.829222e-09
52,1.6612631e-08
53,1.1135008e-08
54,1.4273034e-08
55,8.314791e-09
56,4.5673005e-08
57,3.5027203e-09
58,2.15364e-09
59,4.6000013e-09
60,2.815495e-08
61,6.6490897e-09
62,1.05421464e-07
63,7.413966e-08
64,4.675086e-09
65,1.7797717e-08
66,9.033767e-09
67,4.815886e-08
68,3.6123065e-08
69,7.0994986e-08
70,3.250713e-08
71,5.103968e-08
72,5.8839415e-08
73,1.7148237e-08
74,1.9530972e-08
75,3.587806e-08
76,1.835392e-08
77,6.594516e-09
78,1.05783464e-07
79,3.9996713e-09
80,7.9699106e-08
81,9.673727e-08
82,2.11232e-08
83,2.8323052e-08
84,2.7441125e-08
85,1.2626622e-08
86,3.3810508e-08
87,1.9793607e-08
88,8.194872e-08
89,5.0303065e-08
90,4.8123557e-08
91,4.449402e-09
92,3.5985785e-08
93,7.192946e-08
94,2.0832239e-08
95,7.923668e-08
96,2.2113795e-08
97,2.3439914e-09
98,6.5714616e-08
99,4.974006e-08
100,1.808956e-07
101,3.8569774e-09
102,1.6914606e-07
103,1.01944275e-08
104,1.675315e-07
105,2.2739297e-07
106,1.3080964e-07
107,4.245243e-08
108,1.4613782e-08
109,4.7407294e-08
110,2.4307628e-08
111,1.8210935e-08
112,1.2947421e-09
113,4.6124056e-09
114,2.251497e-08
115,6.379516e-09
116,8.645356e-09
117,3.723562e-09
118,4.1990202e-09
119,5.0587095e-09
120,1.0120223e-08
121,7.586393e-09
122,3.797515e-09
123,4.615065e-09
124,2.8869633e-09
125,1.3451329e-08
126,1.6641202e-08
127,3.433523e-08
128,2.1236827e-08
129,5.5283724e-09
130,8.271563e-09
131,1.1963632e-08
132,3.4087162e-09
133,8.096023e-09
134,1.2176378e-09
135,3.1151025e-08
136,1.4008119e-08
137,9.399871e-09
138,3.8456354e-09
139,1.9779993e-08
140,6.6383116e-10
141,1.2866581e-08
142,3.285136e-08
143,2.0929152e-09
144,1.0736713e-08
145,1.7854251e-08
146,5.838423e-10
147,5.5194156e-09
148,2.4843814e-08
149,1.5023301e-09
150,3.7208515e-08
151,1.0573923e-08
152,2.9811133e-08
153,2.8736203e-08
154,3.3981342e-09
155,5.7166734e-09
156,9.695396e-10
157,1.2038961e-09
158,3.968579e-09
159,1.8244503e-08
160,1.2995004e-09
161,1.8725475e-09
162,1.7463787e-08
163,5.4130207e-09
164,6.3696493e-09
165,3.8815003e-08
166,1.9463782e-09
167,5.4154197e-09
168,3.783445e-09
169,7.1397634e-09
170,1.8112025e-09
171,5.4958367e-09
172,1.5931352e-08
173,2.1257756e-08
174,4.6456485e-08
175,5.5696514e-08
176,6.4767924e-09
177,1.020673e-08
178,6.7548687e-09
179,7.795033e-09
180,3.159328e-08
181,1.311238e-08
182,1.3437899e-09
183,1.6746075e-08
184,1.7117003e-08
185,8.658031e-08
186,3.059636e-08
187,2.6913344e-08
188,5.5364502e-08
189,1.28032065e-08
190,1.0933587e-08
191,2.3171356e-07
192,5.707082e-08
193,6.2386604e-08
194,4.1029484e-08
195,9.156985e-09
196,1.120475e-07
197,5.692101e-08
198,2.817101e-07
199,4.9669975e-09
200,4.805542e-08
201,3.2719527e-08
202,8.53536e-08
203,1.1512961e-07
204,1.9711157e-09
205,4.9229108e-08
206,1.6052487e-08
207,1.9482114e-08
208,1.6645842e-08
209,3.000857e-08
210,3.4334015e-08
211,4.3233745e-09
212,1.9332285e-08
213,8.538048e-09
214,1.5947497e-09
215,6.460195e-08
216,9.6776816e-08
217,1.4033718e-08
218,2.3468714e-09
219,2.8015371e-08
220,7.1463164e-09
221,1.3426893e-08
222,1.8347457e-09
223,1.2110503e-08
224,2.86979e-09
225,3.0098037e-09
226,2.4094136e-08
227,4.3377395e-09
228,1.01817355e-08
229,8.9858987e-10
230,6.3110877e-09
231,1.7537985e-08
232,6.3129235e-08
233,1.128322e-08
234,1.1394224e-08
235,8.2603596e-10
236,7.931794e-09
237,2.67205e-09
238,3.1727518e-09
239,1.6067927e-08
240,4.541002e-09
241,1.9921218e-08
242,8.1640266e-08
243,1.0922898e-08
244,3.162655e-08
245,1.26496715e-08
246,8.433251e-08
247,1.0110387e-08
248,1.4478669e-08
249,6.083075e-09
250,1.0052931e-08
251,4.6543178e-08
252,4.6742933e-08
253,4.472996e-08
254,7.9815486e-08
255,9.2982e-08
256,1.384384e-07
257,2.737734e-08
258,8.08773e-09
259,1.9403426e-09
260,7.27356e-08
261,1.3574329e-08
262,6.7728985e-07
263,2.9158582e-07
264,2.7739484e-08
265,1.2069088e-07
266,2.5386163e-08
267,1.218238e-07
268,5.479049e-08
269,3.4450597e-08
270,1.8176205e-09
271,3.770931e-09
272,6.298375e-10
