,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141
0,446.04898,487.76263,510.13626,451.2907,393.26773,454.8378,540.0206,506.15253,299.74496,336.0181,447.87704,434.72092,352.1698,341.24347,318.45636,318.2104,262.77063,265.4755,212.0875,218.62875,257.86053,283.50958,246.46434,265.85657,213.69595,202.24715,158.92815,99.93595,99.99842,127.424675,118.104416,131.24889,135.43065,174.58444,158.45746,91.581245,85.302,124.28419,133.30487,131.83711,150.09897,118.04622,118.18444,90.98268,69.01551,72.34285,99.75765,95.05035,117.19862,109.44983,106.56162,109.74804,114.15907,129.03917,143.03354,148.42987,157.81664,176.15659,163.28256,169.88028,156.26147,135.24226,114.15776,76.31173,50.92607,5.690177,-29.572191,-97.29094,-112.33069,-117.05144,-118.1211,-118.11454,-118.12874,-114.74974,-110.19932,-61.753136,-7.8303475,27.7413,66.981026,93.86786,128.61613,141.99368,167.77867,164.22606,171.22935,171.2859,146.88693,149.41968,133.31075,123.77941,105.94336,112.6164,101.66754,119.35726,103.504395,99.65163,89.0431,63.66465,75.50645,109.036,114.702995,136.11024,148.07092,123.16601,137.66243,98.368935,90.91462,125.89489,176.23882,155.97627,132.81013,120.10683,124.71021,115.42417,96.891464,112.67119,191.40707,196.4368,249.69699,259.73425,264.736,281.59274,221.6869,218.78067,238.4915,271.7201,285.92065,329.59622,315.4225,355.97366,388.48395,455.4138,409.54373,269.32416,437.50366,538.2537,512.47266,391.72403,399.56143,494.40833,505.02353,468.02557
1,37.395294,50.52757,64.434616,65.89323,90.60432,132.32425,156.64929,154.73209,79.058556,102.1338,136.03363,135.01385,134.82202,138.39014,127.87149,132.57637,119.70885,124.865845,105.72977,108.59985,131.1016,145.965,129.87976,140.18939,118.52372,114.69905,90.90809,37.286148,47.70446,76.78338,78.03429,98.47795,101.46681,128.30426,119.6888,54.504646,48.728386,86.38186,93.164856,96.21397,103.155594,77.24547,66.27637,43.245304,27.496696,44.427547,60.59031,48.865623,53.868263,46.625298,39.4992,34.949593,35.282463,34.439613,32.782402,33.59983,32.53423,38.206085,26.193293,29.398144,26.974026,23.343243,24.357384,15.6558075,20.827583,16.748749,31.174772,24.892223,8.645708,1.9912143,0.47945103,0.488727,0.46865827,5.238019,11.625078,33.948425,24.800247,16.405674,20.760149,18.010628,26.275776,21.164686,30.572266,24.91581,33.663002,37.395565,29.146278,35.761932,30.140205,37.964123,30.591373,39.640358,40.2264,53.048416,49.837025,56.473434,57.25675,30.058743,29.262905,57.88007,67.56868,93.41081,103.981,89.44655,94.83963,65.18591,50.75643,93.26136,129.77644,116.43913,99.48784,87.13654,75.744705,66.536285,36.36119,51.25563,109.99062,110.303154,134.56757,136.80847,138.90686,143.52321,109.602936,110.02174,115.56952,125.67035,123.93506,133.76297,127.94501,141.1914,129.20801,137.56471,128.04913,59.523087,141.25296,157.7836,150.73874,94.97939,76.56352,64.8858,60.401245,39.69565
2,22.930391,20.272604,18.41265,17.98935,5.6659384,-10.117676,-28.000256,-26.06101,13.471323,1.5072703,-19.848354,-18.234524,11.049953,11.31393,7.669771,4.7178736,25.631329,26.385643,39.669495,45.209568,31.309044,23.882238,30.795208,26.24992,34.32018,34.011734,34.664032,28.182243,30.42121,32.7443,43.53093,59.28264,56.83912,49.696762,47.976776,35.48748,33.380226,32.51141,32.249634,43.713917,44.1213,45.89633,45.43071,38.08953,22.470936,32.991592,47.04718,40.253033,43.31168,40.226105,39.553757,37.661953,34.79435,34.67855,28.541058,30.823605,33.927483,40.02013,32.964493,34.958298,31.33321,31.046513,29.952469,20.003967,22.749756,21.537176,29.549461,19.959732,8.578007,1.9881914,0.47934276,0.48861662,0.46855232,5.210212,11.467938,27.296764,27.691416,19.55617,23.408287,23.101597,32.821087,28.304905,34.472332,32.06673,37.66064,38.680534,29.05251,30.808634,29.425999,37.117256,33.11058,40.558807,37.50898,43.341934,41.199924,45.116463,42.598625,23.234896,27.41695,43.38764,45.17839,43.768326,45.16142,36.82566,32.076126,33.588703,34.13974,45.64853,48.131405,52.7958,59.62242,54.87995,33.643494,32.59732,27.257343,29.429392,34.375633,34.473766,28.895838,27.902832,27.377388,25.244143,40.590054,44.18172,30.598099,26.109098,11.915958,3.7442446,13.773088,9.954691,-7.808221,-20.809788,-14.056496,16.996975,-15.207623,-28.822943,-23.268871,5.0295806,10.868285,19.134352,18.85958,21.534138
3,14.485022,17.254524,29.993744,28.957977,8.266975,8.170864,20.203854,18.913937,8.361693,6.5848045,17.911053,17.021328,9.308432,9.638556,8.225334,9.620322,12.308485,14.430716,10.453251,8.557085,13.804739,16.491444,14.933582,14.840507,10.87221,-2.357727,3.8029013,20.180885,17.37696,14.314397,19.781921,26.40696,23.090694,14.548321,15.184308,20.551273,17.058285,-0.85271186,-1.7866027,6.252002,7.1793365,19.132858,18.402615,18.988174,13.605122,19.712254,19.090263,20.773792,30.358742,28.087692,24.120888,27.624924,25.702843,21.735094,18.445215,21.767448,27.252825,29.960896,29.670147,30.431675,25.19333,23.095364,25.426682,18.342907,16.67044,15.088978,22.642654,17.07586,8.466099,1.9831617,0.4791622,0.4884326,0.46837595,5.1641273,11.244562,22.150913,20.25541,13.750955,18.3778,22.038982,24.988857,21.996681,28.787506,29.168468,30.78054,29.207104,22.3751,20.44991,18.790646,24.360886,26.486877,25.908531,24.507343,30.227818,27.121117,19.130161,19.551527,16.53184,14.45855,18.273396,20.457447,11.247616,5.87788,3.4513512,-2.8129582,7.590822,19.448677,18.149593,14.353095,17.125263,27.019636,25.216652,15.164796,15.360353,17.99993,14.457689,-1.3115735,-0.070268854,14.656038,14.234374,16.161383,15.602573,10.905153,8.742354,13.431543,14.187973,8.273014,9.884023,8.951542,9.509708,13.216949,18.698616,13.861617,16.595911,11.5816345,20.94815,16.489212,7.3321767,13.129721,32.392185,24.434914,13.075108
4,7.6504526,11.2007065,15.003767,14.76635,17.511913,2.898375,-4.207587,-2.8731332,6.283071,8.091448,3.049441,4.1138935,19.098623,19.780384,9.0512,8.367662,7.9071245,6.7759223,1.5799487,-1.1358297,15.497448,17.32166,14.969858,16.862131,12.476992,4.3798733,3.6454053,5.221572,12.406399,20.703815,16.676357,10.763958,8.866473,11.339342,11.260598,8.921187,6.0975423,1.9259241,1.7154338,0.44525304,0.43364644,10.422304,23.657904,22.257393,7.1096697,12.895464,9.654001,12.480866,20.562202,19.934551,20.723396,19.950848,15.5107765,17.861544,16.435863,16.903273,18.524391,23.624794,21.917702,23.936852,19.189388,17.529762,17.724895,8.132406,8.583391,12.345919,18.854475,12.788289,8.311348,1.9761379,0.47890985,0.48817506,0.46812916,5.1001506,10.97938,17.06821,16.904642,8.923048,8.501621,12.9401045,18.79777,16.225105,22.807468,21.887772,24.05893,21.62082,15.038626,17.630993,16.464941,17.593311,15.615593,21.81726,19.74402,19.975922,18.811577,9.827283,11.278046,9.937273,11.278314,25.837334,19.65998,1.8802054,0.16120172,2.5272388,1.5871869,3.380668,6.219109,12.584002,11.169607,10.641867,9.816257,12.675778,20.594551,19.463413,4.203537,5.380763,4.409419,4.6562147,16.318998,16.233131,16.413288,17.146008,7.1161327,-1.2771187,5.8157244,7.12314,8.934839,8.266848,15.3132925,20.436466,9.103605,2.7434916,5.1511755,11.619095,2.0013995,-4.548808,-1.8795587,14.782238,15.188387,15.064016,14.190437,7.155465
5,4.888048,5.4959083,2.5019019,3.3872983,19.206818,1.3167729,3.2622771,2.332527,1.2779275,3.0913982,4.565295,4.0137568,4.6851387,4.937911,1.2635427,0.7857413,1.8142356,2.803593,5.573927,6.5610495,7.2750115,4.936897,3.4712415,-0.265988,3.178459,8.536966,8.174461,0.8959454,14.098761,26.205452,15.982176,4.739711,7.3171616,18.661194,20.914587,5.2059574,2.4526134,9.774084,11.451237,4.006402,1.8545296,9.981448,24.35692,18.184292,1.5825893,6.7426095,5.9770746,7.386018,19.94957,24.052132,17.497536,12.998095,11.362293,15.460581,12.9236,11.601664,13.802167,18.363148,16.354828,15.644768,16.489567,17.70765,12.330238,1.2324116,3.0854788,5.139574,9.558245,10.2098465,8.115647,1.9671388,0.47858477,0.487844,0.46781152,5.0188165,10.670906,9.219927,7.2159567,4.194638,1.675801,6.346444,16.012352,17.343313,16.088596,14.797707,18.42595,17.058342,10.392097,12.844588,13.687319,14.574495,9.682899,16.23273,20.811941,22.308277,15.422024,5.2958612,6.650667,3.3977387,5.72167,24.49639,21.785686,1.1128957,3.2289517,9.085434,11.497332,6.2294874,0.8994109,19.200512,20.080116,15.2394495,4.5769215,6.1476727,25.87917,23.995974,1.2687969,5.2005463,8.592777,7.5985823,0.10827267,0.50732094,5.7750206,5.5536804,7.3531837,6.4671793,4.427198,1.9529917,0.82206094,0.7656237,4.491025,4.497425,3.4613028,4.714482,3.6192188,1.9110473,-0.31297225,3.460083,1.8941221,16.919819,14.872181,1.3342162,3.925146,5.8894224
6,8.240926,4.008799,-6.359661,-6.1958714,10.730955,4.6643686,3.5938454,4.175835,3.7706127,3.7025547,4.9105654,5.1946836,3.6438057,3.237844,3.6236696,3.9882855,9.445486,11.036602,8.768543,11.51087,4.840062,7.8568068,1.823409,-0.6734309,1.8362893,6.7277403,5.3905144,0.3307425,17.673435,26.758072,17.046013,4.182634,11.28489,18.61832,19.350534,4.1672583,4.165352,7.2441854,5.9274664,0.24450892,-0.08785543,11.803059,22.29145,17.338394,4.703245,6.620137,8.976292,9.78165,21.295938,25.42569,13.668699,14.894228,12.570964,11.567154,9.959288,13.51622,14.944083,17.99636,12.577583,9.121093,11.717718,13.2136,11.350773,3.1875844,4.3043213,3.8166096,0.82412314,7.553996,7.8813663,1.956187,0.47818798,0.48743948,0.46742353,4.920803,10.299608,2.6011584,1.3860779,5.2294726,2.9201787,7.610215,12.620021,13.296005,10.463152,8.690477,16.838491,17.488392,12.865478,12.47735,9.077682,12.896989,12.521042,15.150553,18.192362,24.76826,16.0311,9.174921,7.8234453,5.31943,7.224161,22.108927,21.148895,2.4150093,-0.8928696,4.8687096,6.332014,7.4401903,2.0429673,17.42865,18.786425,18.010788,5.539506,5.298139,27.94001,25.106085,4.205052,2.0559635,6.445034,6.2544174,-0.029680176,-1.3379459,7.047615,6.6654077,6.264034,11.385935,8.657299,11.892132,4.2527943,4.143995,3.4829493,3.236947,5.591016,4.9159803,4.9445033,2.6166966,5.287818,3.511374,4.2971287,9.203721,6.0468645,-8.400558,-2.0273578,8.455946
7,0.9585418,-2.07869,-2.1666873,-1.8729627,-0.5454706,2.3374994,1.8022215,1.1836553,4.187902,2.0447235,-0.03586781,-0.13800627,4.874597,5.383285,3.1150436,2.6043565,-1.8079109,-3.1920917,5.0535746,5.997201,4.0183306,2.142396,4.482284,6.5956535,5.5168114,4.8411036,4.755572,7.0335345,15.722003,19.461964,6.63678,-3.3319683,1.149293,10.642844,12.770316,2.4355955,-0.044570446,2.7415829,2.1577537,-0.51231396,-1.6930693,7.2072897,15.682442,14.676872,5.395902,7.057215,10.650348,9.189299,15.561504,19.33213,9.798935,10.786344,3.911231,4.6637516,4.0072107,7.633729,7.946815,9.537932,9.365107,0.99446833,3.769296,9.631111,9.500429,9.075908,6.8278465,3.1914182,-2.2940502,6.1202316,7.611328,1.9433107,0.47771907,0.48696154,0.4669653,4.806924,9.8527775,-0.5278759,0.058336765,5.5995116,8.549427,9.351336,9.681732,7.66362,1.0947841,3.9495277,11.187471,8.621006,7.6908417,5.5408754,3.99411,3.462759,6.794648,11.623272,13.075418,18.475786,11.947303,10.145505,10.091124,4.834296,7.780447,16.574707,14.162836,-0.09418324,-1.6232635,1.9800537,1.9751565,3.1171465,-0.65778077,11.967075,12.085497,7.6156473,-3.3319452,-2.476695,17.86428,19.834435,8.45644,5.775486,4.617417,5.3081093,6.0023317,6.651329,2.4333565,3.0250657,5.028474,6.1019,-1.1029483,-3.541286,2.451377,2.36872,4.4640255,5.678467,1.0767193,-0.14445928,0.38599026,5.8452587,0.69442916,1.6779535,1.6945376,0.24579191,-0.8047369,-1.819095,-2.4015312,-0.9045622
8,3.1483333,3.2476292,5.3702903,4.8020573,-4.0433006,1.6570097,2.6858778,2.8810544,4.0415416,0.9933334,2.6374924,2.6595006,-1.1914846,-1.0084388,7.074195,8.0842,-2.602786,-4.3502803,3.5039544,5.377945,4.548476,5.285505,5.443819,4.7047267,4.149378,3.3764539,7.756271,18.086308,14.854961,17.661282,9.59277,-1.4367687,0.5017656,4.641829,3.2113001,-0.73098683,-3.6049132,5.410672,7.78337,2.3022096,1.9244704,7.81659,12.920957,11.367623,7.815426,9.68015,14.261236,16.342886,15.270906,12.140807,6.1857367,6.775839,7.9723682,12.342394,9.490056,10.2683525,15.33069,15.038458,7.6201277,6.1194954,7.3874884,6.0044484,7.8212385,11.160535,10.914714,5.4384394,2.9824264,5.99243,7.308756,1.9285418,0.47717854,0.48641026,0.46643683,4.6781187,9.343134,4.1403036,3.651127,9.198418,11.541538,8.900333,7.292515,5.6285787,7.6896224,4.703293,12.53801,16.210411,12.55438,8.93431,11.090043,10.603933,6.2734194,6.7452283,7.976203,13.818327,16.4997,15.599623,12.466438,7.7094116,8.071183,12.656102,12.706697,2.6497006,1.9870903,5.263138,7.0977807,2.0239716,-4.175338,4.2890663,3.6484165,4.5071135,-2.348653,1.2545825,18.466528,15.641577,16.402649,13.283709,4.746767,3.4422977,4.782276,5.0007105,5.5791025,4.64796,5.8793507,5.530693,-3.3141766,-4.4714394,5.930208,8.201172,2.3708994,-1.6666596,1.6972474,2.8181908,2.0008037,3.673857,2.7194662,2.7632437,2.6031785,-2.6940186,-1.7741644,6.4477787,4.21705,2.5516825
9,-2.7650082,-0.66014206,1.5614896,1.1237211,-1.4260902,1.7700007,0.89053655,0.85912764,0.17314704,-0.0021885224,-0.16938108,0.025695287,1.7591641,1.6525989,1.991983,1.6907634,0.34799647,-0.5623486,1.1860337,3.5951114,0.71923846,0.91013515,-0.35308868,0.5905004,2.2666535,9.147999,5.768639,13.8517475,7.6987915,5.557006,1.3098019,-2.398608,-2.965503,-0.29872414,-0.143145,-1.8932883,-4.0810537,9.24022,10.4291525,5.1601825,5.9774776,8.000608,14.185656,14.203861,11.504078,4.7771597,11.846846,10.511602,4.7318997,4.547374,1.5102255,4.9483953,10.528244,10.558987,7.7861056,7.370952,13.007704,14.36898,9.114632,10.4263935,8.612337,6.192152,6.0322685,11.04092,12.754002,5.524309,0.63913155,4.6922703,6.9772263,1.9119211,0.4765656,0.48578575,0.4658378,4.5354433,8.803751,-0.062904894,2.9228182,10.8301735,12.146301,7.3734503,6.534363,6.0139256,10.654751,8.313141,12.415562,14.78697,9.506336,7.0027614,9.150812,11.070927,7.560136,2.6326156,2.3492355,4.52007,6.728686,12.565944,8.67071,6.323704,13.658194,14.050001,12.786425,5.26493,6.165117,6.9289503,10.293437,4.4445553,-5.497574,1.409459,-0.4407195,-0.10994889,-3.018592,-2.121417,5.9815607,5.1925683,12.069852,8.198055,8.289948,7.3317337,1.1618245,-0.014159441,0.023582071,1.2507973,1.6081169,3.1583638,-1.1508284,-0.18509407,2.1188426,1.4911418,1.8002224,1.7562048,1.2245446,-0.25825313,0.22028068,-0.65046567,1.2895347,0.8015325,1.0680953,-0.06512903,-2.0080771,2.2016568,0.38721842,-1.8440613
