,0
0,1.9910754e-08
1,2.299203e-08
2,3.361775e-08
3,3.99733e-08
4,3.6336623e-08
5,9.943527e-09
6,1.0078154e-09
7,6.7088797e-09
8,2.9589284e-08
9,8.645231e-09
10,3.2949257e-09
11,1.9582007e-09
12,2.3979383e-09
13,3.5507373e-09
14,8.127497e-09
15,2.7889933e-09
16,2.4680402e-10
17,2.2191429e-10
18,1.0051946e-08
19,6.6751142e-09
20,1.9391644e-09
21,5.745894e-09
22,1.8043592e-08
23,1.0684262e-08
24,4.7101785e-09
25,3.1811704e-09
26,7.1564693e-10
27,1.0320121e-08
28,4.429442e-09
29,3.0517249e-09
30,5.233186e-10
31,5.9878986e-09
32,3.1188931e-09
33,2.0736228e-09
34,3.81325e-09
35,2.0245947e-09
36,1.27655e-09
37,5.556202e-09
38,2.2308146e-09
39,3.902019e-09
40,2.567567e-09
41,4.670835e-10
42,3.1844656e-09
43,1.2181167e-09
44,9.27872e-10
45,2.521669e-09
46,1.9353654e-09
47,8.168232e-10
48,1.0661882e-09
49,3.1786895e-09
50,2.1243873e-09
51,7.456276e-09
52,6.5125644e-10
53,8.804271e-10
54,7.735899e-09
55,3.9624645e-10
56,1.0902156e-09
57,3.0016134e-09
58,5.833122e-10
59,6.337307e-11
60,1.8677333e-08
61,2.1541289e-09
62,3.1702692e-09
63,2.0711515e-09
64,5.0559676e-09
65,5.9048357e-09
66,4.218493e-09
67,3.44094e-10
68,9.7554576e-11
69,6.331483e-10
70,3.9890184e-09
71,4.138085e-09
72,1.6910715e-09
73,3.3145395e-09
74,1.7352506e-09
75,2.3364946e-09
76,1.184596e-09
77,2.4283189e-09
78,9.925064e-11
79,1.9641246e-09
80,1.6400473e-09
81,3.8187684e-09
82,3.554417e-09
83,1.6747971e-09
84,3.0439664e-09
85,3.737192e-09
86,1.6575712e-10
87,4.7077973e-09
88,5.2359933e-10
89,7.153893e-11
90,1.1343615e-09
91,2.8656924e-09
92,5.7461286e-10
93,4.9103623e-09
94,2.135633e-09
95,3.832797e-09
96,6.3661485e-09
97,1.23592425e-08
98,2.46929e-09
99,3.060493e-09
100,1.131772e-09
101,4.1034243e-09
102,7.2320405e-10
103,6.278278e-10
104,4.0534961e-10
105,2.2730782e-09
106,2.5232638e-10
107,3.8708965e-09
108,1.1520733e-09
109,2.9545315e-09
110,4.0795034e-09
111,9.02034e-10
112,1.9202326e-09
113,5.106557e-09
114,2.0141737e-09
115,1.4445048e-10
116,1.5022688e-09
117,2.9540816e-09
118,6.7473027e-10
119,1.0537184e-09
120,1.0211492e-09
121,4.401814e-10
122,5.306267e-10
123,1.4760204e-09
124,2.1292e-09
125,4.662244e-09
126,6.075012e-10
127,6.6981226e-10
128,5.927426e-10
129,4.678721e-10
130,2.2044029e-10
