,0
0,1.7433963e-06
1,1.5528504e-06
2,1.2277096e-06
3,8.2272174e-07
4,6.1777257e-07
5,3.799068e-07
6,2.3243864e-07
7,2.0748324e-07
8,1.135161e-07
9,1.1982871e-07
10,5.15894e-08
11,4.11357e-08
12,1.8022929e-08
13,1.7507679e-08
14,2.6806056e-08
15,1.4489997e-08
16,1.2511648e-08
17,4.910402e-09
18,3.8950367e-09
19,2.1633575e-08
20,2.2672788e-08
21,1.5383609e-09
22,2.6988372e-08
23,3.6456065e-08
24,5.2187303e-08
25,1.2414477e-08
26,4.372337e-08
27,6.32248e-08
28,8.4288885e-08
29,1.7083014e-08
30,3.6237942e-08
31,3.0204e-08
32,5.3805945e-08
33,1.9563757e-08
34,3.559481e-08
35,2.7545004e-08
36,5.284163e-08
37,4.640261e-08
38,3.4824275e-08
39,2.2950822e-08
40,2.9949486e-08
41,3.148215e-08
42,7.873422e-08
43,2.3024445e-08
44,2.066442e-08
45,3.9382073e-08
46,4.3753023e-08
47,2.8048627e-08
48,5.5607543e-08
49,2.798145e-08
50,5.6205806e-08
51,1.7889862e-08
52,3.4435185e-08
53,3.9764252e-08
54,8.8487965e-08
55,2.9226953e-08
56,4.261308e-08
57,3.9993168e-08
58,3.0297535e-08
59,6.549084e-08
60,4.4966972e-09
61,8.207449e-08
62,5.2281884e-08
63,2.5399194e-08
64,1.14760725e-08
65,5.482483e-08
66,5.320444e-08
67,6.0567075e-08
68,3.2231387e-08
69,4.3998597e-08
70,7.24754e-08
71,2.7075282e-08
72,4.8685113e-08
73,3.5936935e-08
74,1.2546453e-08
75,5.2247266e-08
76,5.5029282e-08
77,3.1876187e-08
78,1.1345647e-08
79,2.2043498e-08
80,4.2566306e-08
81,1.0167138e-08
82,5.4008602e-08
83,4.1226393e-08
84,5.7552928e-08
85,7.763369e-09
86,1.904423e-08
87,3.9238724e-08
88,3.7856612e-08
89,9.538862e-09
90,2.8657993e-08
91,1.2413242e-08
92,2.9538647e-08
93,2.8041221e-08
94,4.2732772e-08
95,9.539175e-09
96,2.9704816e-08
97,1.7844746e-08
98,2.2907642e-08
